# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux_thermal[1]*c_flux_thermal[1] c_flux_thermal[2]*c_flux_thermal[2] c_flux_thermal[3]*c_flux_thermal[3]
0 200
1 0 1 0.0105835 0.000181236 0.00379701
2 10 0 0.0 0.0 0.0
3 20 0 0.0 0.0 0.0
4 30 0 0.0 0.0 0.0
5 40 0 0.0 0.0 0.0
6 50 0 0.0 0.0 0.0
7 60 0 0.0 0.0 0.0
8 70 0 0.0 0.0 0.0
9 80 0 0.0 0.0 0.0
10 90 0 0.0 0.0 0.0
11 100 0 0.0 0.0 0.0
12 110 0 0.0 0.0 0.0
13 120 0 0.0 0.0 0.0
14 130 0 0.0 0.0 0.0
15 140 0 0.0 0.0 0.0
16 150 0 0.0 0.0 0.0
17 160 0 0.0 0.0 0.0
18 170 0 0.0 0.0 0.0
19 180 0 0.0 0.0 0.0
20 190 0 0.0 0.0 0.0
21 200 0 0.0 0.0 0.0
22 210 0 0.0 0.0 0.0
23 220 0 0.0 0.0 0.0
24 230 0 0.0 0.0 0.0
25 240 0 0.0 0.0 0.0
26 250 0 0.0 0.0 0.0
27 260 0 0.0 0.0 0.0
28 270 0 0.0 0.0 0.0
29 280 0 0.0 0.0 0.0
30 290 0 0.0 0.0 0.0
31 300 0 0.0 0.0 0.0
32 310 0 0.0 0.0 0.0
33 320 0 0.0 0.0 0.0
34 330 0 0.0 0.0 0.0
35 340 0 0.0 0.0 0.0
36 350 0 0.0 0.0 0.0
37 360 0 0.0 0.0 0.0
38 370 0 0.0 0.0 0.0
39 380 0 0.0 0.0 0.0
40 390 0 0.0 0.0 0.0
41 400 0 0.0 0.0 0.0
42 410 0 0.0 0.0 0.0
43 420 0 0.0 0.0 0.0
44 430 0 0.0 0.0 0.0
45 440 0 0.0 0.0 0.0
46 450 0 0.0 0.0 0.0
47 460 0 0.0 0.0 0.0
48 470 0 0.0 0.0 0.0
49 480 0 0.0 0.0 0.0
50 490 0 0.0 0.0 0.0
51 500 0 0.0 0.0 0.0
52 510 0 0.0 0.0 0.0
53 520 0 0.0 0.0 0.0
54 530 0 0.0 0.0 0.0
55 540 0 0.0 0.0 0.0
